mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex
1390-130494-0006_5115-26950-0032_3703-71531-0027_7766-109658-0045,1390.0,F,5115.0,F,3703.0,F,7766.0,F
2573-186232-0011_3368-170952-0048_1473-135657-0107_4226-185488-0020,2573.0,F,3368.0,M,1473.0,M,4226.0,M
240-160592-0031_1914-133440-0032_2368-157056-0036_5123-34572-0044,240.0,M,1914.0,M,2368.0,M,5123.0,M
2674-155968-0039_2498-134785-0020_451-126826-0047_3482-170453-0044,2674.0,M,2498.0,F,451.0,F,3482.0,F
4839-15305-0016_8300-275127-0006_707-161166-0042_3171-7574-0040,4839.0,F,8300.0,F,707.0,M,3171.0,M
7754-105383-0059_6300-39661-0000_3046-148993-0027_224-129790-0007,7754.0,F,6300.0,F,3046.0,F,224.0,F
1079-128632-0042_5239-31629-0013_6082-56174-0047_3490-177627-0039,1079.0,F,5239.0,M,6082.0,F,3490.0,M
868-131294-0026_2110-161100-0008_337-126286-0009_1734-142311-0054,868.0,M,2110.0,M,337.0,F,1734.0,F
7665-104978-0026_5810-8674-0010_1944-159227-0004_5242-35926-0023,7665.0,M,5810.0,M,1944.0,F,5242.0,M
2269-165387-0028_8725-294554-0033_3446-176270-0029_1859-145703-0025,2269.0,F,8725.0,M,3446.0,F,1859.0,F
6352-83633-0048_6446-40544-0016_3228-4687-0036_7832-114468-0046,6352.0,F,6446.0,M,3228.0,F,7832.0,M
345-1129-0008_249-121331-0075_6352-83633-0046_2368-157057-0039,345.0,M,249.0,M,6352.0,F,2368.0,M
2532-157475-0013_7445-94522-0038_534-127537-0017_1195-130164-0013,2532.0,F,7445.0,F,534.0,F,1195.0,F
6294-86679-0048_3180-138043-0110_7982-110054-0048_6458-232057-0101,6294.0,M,3180.0,M,7982.0,F,6458.0,M
1903-132499-0071_1001-134708-0027_114-129324-0049_1629-139710-0052,1903.0,M,1001.0,M,114.0,F,1629.0,F
7520-258986-0036_3224-168198-0014_3025-12971-0070_6782-61316-0043,7520.0,M,3224.0,F,3025.0,F,6782.0,F
576-129623-0142_2562-157263-0000_4899-32658-0018_1027-125140-0058,576.0,F,2562.0,M,4899.0,F,1027.0,M
4331-57179-0048_6544-71420-0005_4260-176853-0050_561-126313-0019,4331.0,F,6544.0,F,4260.0,F,561.0,M
7730-304541-0013_126-122467-0008_1265-135635-0027_7558-89894-0005,7730.0,F,126.0,F,1265.0,M,7558.0,M
8776-270778-0028_2696-157636-0006_4222-187005-0031_5206-19376-0059,8776.0,F,2696.0,M,4222.0,F,5206.0,M
242-122626-0031_6300-39661-0056_3070-166421-0015_3914-10088-0048,242.0,F,6300.0,F,3070.0,M,3914.0,M
4358-44937-0038_6426-64290-0021_6188-73024-0035_3114-170976-0031,4358.0,M,6426.0,F,6188.0,F,3114.0,M
816-2301-0035_2056-143893-0040_2397-162253-0003_209-4731-0038,816.0,M,2056.0,F,2397.0,M,209.0,F
5054-1187-0018_353-128309-0071_3370-163384-0022_5935-43322-0011,5054.0,F,353.0,M,3370.0,M,5935.0,M
224-128660-0014_4148-183988-0011_3032-19361-0068_2562-133442-0007,224.0,F,4148.0,M,3032.0,M,2562.0,M
1776-139035-0000_2638-10172-0046_2427-154697-0043_5809-58763-0037,1776.0,M,2638.0,F,2427.0,M,5809.0,F
1456-130553-0020_6426-64292-0006_4592-22179-0000_5935-43322-0040,1456.0,M,6426.0,F,4592.0,F,5935.0,M
1913-143521-0019_3105-163726-0020_8776-270778-0027_1018-135221-0020,1913.0,M,3105.0,M,8776.0,F,1018.0,M
7061-85640-0023_216-122451-0004_7339-86804-0004_7495-252341-0007,7061.0,M,216.0,M,7339.0,M,7495.0,F
3922-715-0004_2929-85685-0003_7932-110056-0019_5126-34483-0003,3922.0,F,2929.0,M,7932.0,F,5126.0,M
2532-163402-0005_8718-295446-0023_6317-54487-0034_7555-101283-0047,2532.0,F,8718.0,F,6317.0,F,7555.0,F
5389-41911-0011_3852-175448-0002_3094-136458-0001_7276-284424-0051,5389.0,M,3852.0,F,3094.0,F,7276.0,F
3230-137483-0099_5190-87791-0006_512-124520-0025_101-126860-0010,3230.0,M,5190.0,M,512.0,M,101.0,M
8786-276749-0004_986-129388-0056_8421-283462-0049_7342-254918-0001,8786.0,M,986.0,M,8421.0,F,7342.0,F
3187-168500-0061_5883-59268-0115_3230-137483-0040_6492-68369-0051,3187.0,M,5883.0,M,3230.0,M,6492.0,M
718-129594-0019_7949-39970-0052_3274-167023-0038_8113-117384-0025,718.0,M,7949.0,M,3274.0,M,8113.0,F
7498-99156-0008_1974-139741-0053_1734-142311-0055_1343-139681-0030,7498.0,F,1974.0,F,1734.0,F,1343.0,F
7460-104483-0012_589-146346-0061_5190-87766-0021_4744-31668-0004,7460.0,M,589.0,F,5190.0,M,4744.0,F
1343-139681-0004_3185-163507-0016_3001-160952-0036_4434-73958-0025,1343.0,F,3185.0,M,3001.0,F,4434.0,F
6956-76046-0026_323-126408-0062_3521-175962-0020_7868-110706-0026,6956.0,M,323.0,F,3521.0,M,7868.0,F
6727-10344-0029_5115-26947-0005_1487-133273-0074_820-123135-0031,6727.0,M,5115.0,F,1487.0,M,820.0,M
7085-75810-0010_5054-18527-0005_8619-291379-0035_8575-290349-0025,7085.0,M,5054.0,F,8619.0,M,8575.0,M
2494-156015-0025_7069-246889-0012_1641-130503-0003_2167-149881-0019,2494.0,M,7069.0,M,1641.0,F,2167.0,M
4731-95870-0023_6575-67592-0031_1028-133395-0042_968-122544-0053,4731.0,F,6575.0,M,1028.0,M,968.0,F
5206-19376-0044_4731-95875-0010_216-122451-0006_4111-184448-0004,5206.0,M,4731.0,F,216.0,M,4111.0,F
8228-232690-0032_7126-59167-0033_1417-1539-0029_7932-93470-0000,8228.0,F,7126.0,M,1417.0,F,7932.0,F
6378-61780-0022_126-125084-0030_3638-758-0000_100-121669-0001,6378.0,F,126.0,F,3638.0,F,100.0,F
98-199-0041_3119-163527-0036_5157-47239-0045_6727-10344-0036,98.0,F,3119.0,F,5157.0,M,6727.0,M
8824-279153-0023_7000-83706-0012_594-127732-0045_3046-137739-0011,8824.0,M,7000.0,M,594.0,M,3046.0,F
359-133630-0015_4358-44937-0035_7484-39971-0088_666-11243-0051,359.0,M,4358.0,M,7484.0,M,666.0,F
8195-117382-0078_6788-96241-0003_1313-136054-0021_5802-76043-0016,8195.0,M,6788.0,F,1313.0,M,5802.0,M
5914-52087-0005_434-132649-0004_114-129317-0010_1112-128138-0000,5914.0,M,434.0,F,114.0,F,1112.0,M
258-121528-0018_3977-185466-0013_3221-138045-0001_6683-63839-0003,258.0,M,3977.0,M,3221.0,M,6683.0,F
3866-173230-0021_8163-116797-0031_7051-259009-0034_2512-157480-0004,3866.0,M,8163.0,F,7051.0,M,2512.0,F
543-137106-0010_1182-134316-0036_2589-22574-0005_6519-231834-0021,543.0,M,1182.0,M,2589.0,M,6519.0,F
8879-300234-0017_2577-157236-0043_3003-12539-0000_5126-34483-0020,8879.0,M,2577.0,F,3003.0,F,5126.0,M
122-121730-0006_7665-104979-0019_439-122810-0047_1961-145733-0012,122.0,M,7665.0,M,439.0,M,1961.0,F
6782-61316-0115_8118-114469-0010_1776-139035-0014_1668-136271-0010,6782.0,F,8118.0,F,1776.0,M,1668.0,F
2741-159386-0053_7739-8592-0035_4586-96498-0006_5319-84357-0021,2741.0,F,7739.0,F,4586.0,M,5319.0,M
6352-83633-0026_594-127732-0047_922-132291-0008_8879-300234-0012,6352.0,F,594.0,M,922.0,M,8879.0,M
7538-100043-0006_3215-5758-0005_953-130625-0079_4592-22179-0009,7538.0,M,3215.0,F,953.0,M,4592.0,F
3927-6556-0037_3092-39501-0018_1413-121799-0022_7090-91801-0037,3927.0,M,3092.0,F,1413.0,M,7090.0,M
6188-73024-0003_1448-135894-0030_5622-41172-0021_345-1129-0021,6188.0,F,1448.0,F,5622.0,F,345.0,M
1100-135264-0026_5740-97593-0017_3686-171134-0009_4356-6506-0009,1100.0,F,5740.0,F,3686.0,M,4356.0,F
1556-143307-0002_3230-137483-0089_7069-246889-0007_2769-169619-0002,1556.0,M,3230.0,M,7069.0,M,2769.0,M
576-129623-0095_2769-169619-0027_7939-120318-0014_2929-86777-0004,576.0,F,2769.0,M,7939.0,M,2929.0,M
7832-114468-0007_3094-136458-0019_4590-18004-0033_7314-77782-0001,7832.0,M,3094.0,F,4590.0,M,7314.0,M
7240-92200-0000_480-126336-0021_4044-9010-0096_369-125882-0015,7240.0,F,480.0,M,4044.0,F,369.0,M
4356-6498-0003_4236-8927-0027_583-139009-0109_2204-131732-0018,4356.0,F,4236.0,M,583.0,M,2204.0,F
2061-147110-0082_8820-294114-0007_954-130627-0052_340-124368-0014,2061.0,F,8820.0,M,954.0,M,340.0,M
5655-46267-0032_543-133211-0020_6904-262291-0017_1943-138033-0072,5655.0,F,543.0,M,6904.0,F,1943.0,M
3082-165428-0023_2499-156154-0018_1535-141644-0023_7069-246904-0001,3082.0,M,2499.0,M,1535.0,M,7069.0,M
5985-300225-0002_2368-157066-0037_2319-138631-0052_3549-173591-0013,5985.0,M,2368.0,M,2319.0,M,3549.0,F
5802-76043-0013_1425-139291-0012_1052-132776-0020_6993-83607-0065,5802.0,M,1425.0,F,1052.0,F,6993.0,M
7525-101265-0020_5054-1187-0048_3537-5703-0014_5519-39478-0025,7525.0,F,5054.0,F,3537.0,F,5519.0,M
8619-291381-0014_7525-101265-0032_525-126965-0041_5583-41259-0041,8619.0,M,7525.0,F,525.0,F,5583.0,F
7959-109185-0029_4039-184266-0026_6215-62347-0007_203-132069-0036,7959.0,F,4039.0,M,6215.0,F,203.0,F
1933-146437-0046_4800-73729-0025_4243-187024-0034_5776-46889-0072,1933.0,F,4800.0,F,4243.0,M,5776.0,M
7011-66622-0012_3521-12715-0005_5570-73848-0038_119-129513-0007,7011.0,M,3521.0,M,5570.0,F,119.0,M
6054-41610-0016_6701-71404-0010_957-132537-0020_2473-155521-0038,6054.0,F,6701.0,M,957.0,M,2473.0,M
2498-134816-0024_6673-72311-0011_583-139009-0012_7313-91072-0061,2498.0,F,6673.0,F,583.0,M,7313.0,M
339-132717-0052_2473-157861-0035_1093-132891-0059_3446-176270-0012,339.0,F,2473.0,M,1093.0,F,3446.0,F
6308-68359-0013_3967-292604-0017_731-366-0039_598-127703-0018,6308.0,F,3967.0,F,731.0,F,598.0,F
4945-29092-0006_663-128990-0041_8545-273050-0039_7169-89735-0061,4945.0,M,663.0,M,8545.0,F,7169.0,M
4064-77779-0030_2992-164101-0026_8222-274379-0015_122-129752-0009,4064.0,F,2992.0,M,8222.0,M,122.0,M
7313-91072-0105_204-162375-0029_3728-105398-0026_1752-16632-0080,7313.0,M,204.0,M,3728.0,F,1752.0,F
7525-101265-0016_258-130878-0034_7139-75362-0034_6330-66016-0028,7525.0,F,258.0,M,7139.0,M,6330.0,M
258-130878-0054_3368-170952-0027_345-1119-0013_380-129064-0007,258.0,M,3368.0,M,345.0,M,380.0,F
3482-170452-0001_8388-278289-0018_225-131276-0001_7967-117095-0038,3482.0,F,8388.0,F,225.0,F,7967.0,F
4152-5710-0023_8742-245708-0057_3816-11258-0018_3368-170951-0048,4152.0,M,8742.0,M,3816.0,F,3368.0,M
2674-155968-0081_6575-67584-0011_2254-152826-0016_5400-34478-0010,2674.0,M,6575.0,M,2254.0,F,5400.0,F
4438-48513-0007_1053-132821-0036_986-129388-0041_1271-128145-0027,4438.0,M,1053.0,F,986.0,M,1271.0,M
1001-134708-0005_4495-10160-0052_7069-246892-0011_8464-282934-0013,1001.0,M,4495.0,M,7069.0,M,8464.0,M
1337-10673-0014_3221-138045-0011_217-122443-0037_8163-274549-0049,1337.0,M,3221.0,M,217.0,F,8163.0,F
1851-151817-0017_2294-169656-0020_3003-14274-0062_8142-3967-0023,1851.0,F,2294.0,M,3003.0,F,8142.0,M
4013-182396-0010_589-146346-0021_7398-98880-0020_8479-276730-0054,4013.0,M,589.0,F,7398.0,F,8479.0,M
8190-284433-0020_6157-40556-0038_5883-59268-0096_6215-62347-0044,8190.0,F,6157.0,M,5883.0,M,6215.0,F
7240-108066-0030_2582-155972-0056_2240-148522-0035_6993-83606-0023,7240.0,F,2582.0,F,2240.0,M,6993.0,M
1789-142896-0054_3905-172165-0059_8687-216570-0081_1050-134119-0022,1789.0,M,3905.0,F,8687.0,M,1050.0,F
3361-1133-0033_6538-81843-0031_1446-122614-0059_835-130876-0043,3361.0,F,6538.0,M,1446.0,M,835.0,M
5054-18527-0002_3009-10327-0022_816-2301-0017_492-131899-0029,5054.0,F,3009.0,M,816.0,M,492.0,M
7117-86710-0005_9023-296468-0065_949-162667-0030_7933-113273-0017,7117.0,F,9023.0,F,949.0,M,7933.0,F
882-123268-0002_2696-157636-0027_2790-142824-0100_4860-13185-0085,882.0,F,2696.0,M,2790.0,F,4860.0,M
3866-173230-0003_7809-108638-0041_1943-138033-0024_4152-5710-0032,3866.0,M,7809.0,M,1943.0,M,4152.0,M
5684-46240-0051_711-187464-0052_589-146346-0058_8028-233366-0027,5684.0,F,711.0,M,589.0,F,8028.0,M
1777-142745-0017_8725-294551-0044_8464-282934-0038_548-126959-0014,1777.0,M,8725.0,M,8464.0,M,548.0,M
6378-61780-0028_1226-141279-0020_7258-91906-0026_278-127215-0050,6378.0,F,1226.0,M,7258.0,M,278.0,F
6352-83633-0014_6701-71404-0011_4116-13265-0003_6038-56778-0025,6352.0,F,6701.0,M,4116.0,F,6038.0,F
1053-289242-0028_4590-18005-0017_4957-36386-0027_8887-281471-0038,1053.0,F,4590.0,M,4957.0,F,8887.0,M
3046-137739-0051_3083-7944-0033_231-127936-0027_699-132866-0007,3046.0,F,3083.0,F,231.0,M,699.0,F
7959-109176-0016_9023-296467-0026_3989-182389-0008_8545-287671-0060,7959.0,F,9023.0,F,3989.0,M,8545.0,F
803-139752-0000_3549-173591-0003_8097-282406-0012_549-126410-0028,803.0,M,3549.0,F,8097.0,F,549.0,F
2045-158081-0057_4856-20410-0043_475-125002-0009_6119-48032-0025,2045.0,M,4856.0,M,475.0,M,6119.0,M
2393-144496-0053_7258-91905-0021_3482-170453-0004_1859-145701-0020,2393.0,M,7258.0,M,3482.0,F,1859.0,F
3025-12971-0008_7991-102381-0026_1401-14358-0008_949-138545-0015,3025.0,F,7991.0,M,1401.0,F,949.0,M
4595-45204-0031_1571-138486-0021_1513-140221-0032_2815-160188-0068,4595.0,M,1571.0,M,1513.0,M,2815.0,M
345-1129-0039_8119-115687-0010_7962-110061-0085_1121-176698-0007,345.0,M,8119.0,M,7962.0,F,1121.0,M
7832-114468-0015_731-365-0026_8506-293168-0006_1668-136280-0001,7832.0,M,731.0,F,8506.0,F,1668.0,F
9023-296468-0043_157-121899-0030_362-123048-0028_2110-161102-0004,9023.0,F,157.0,M,362.0,F,2110.0,M
1316-132782-0003_2272-152262-0001_598-127703-0005_7515-220979-0027,1316.0,M,2272.0,M,598.0,F,7515.0,F
664-129011-0042_2388-153728-0037_5984-56837-0000_3446-176270-0010,664.0,F,2388.0,M,5984.0,F,3446.0,F
204-162375-0004_1923-155646-0035_4133-6541-0011_5968-55202-0024,204.0,M,1923.0,F,4133.0,M,5968.0,F
6054-41610-0064_4860-13185-0039_2533-149939-0074_8635-295759-0014,6054.0,F,4860.0,M,2533.0,M,8635.0,M
1603-140931-0020_5319-84357-0026_2319-138631-0025_296-129659-0035,1603.0,M,5319.0,M,2319.0,M,296.0,M
510-130103-0016_7313-91072-0087_7481-101276-0023_6918-47541-0008,510.0,M,7313.0,M,7481.0,F,6918.0,F
1944-159230-0028_1336-138113-0051_3483-115968-0026_6518-66464-0007,1944.0,F,1336.0,M,3483.0,M,6518.0,F
8772-270777-0040_1392-135659-0003_323-126408-0069_7128-84122-0032,8772.0,M,1392.0,M,323.0,F,7128.0,M
3967-29012-0028_5746-48361-0048_2285-163381-0013_5940-54016-0043,3967.0,F,5746.0,M,2285.0,M,5940.0,M
7569-102232-0006_1806-2536-0002_2652-157644-0061_5242-35926-0016,7569.0,M,1806.0,M,2652.0,F,5242.0,M
7095-88489-0017_2230-132101-0018_954-130627-0072_5810-8689-0030,7095.0,M,2230.0,F,954.0,M,5810.0,M
1806-143946-0005_1498-140041-0025_4010-10801-0005_6499-87508-0005,1806.0,M,1498.0,F,4010.0,M,6499.0,M
3513-163606-0009_806-123715-0011_5684-46243-0041_2256-137627-0011,3513.0,F,806.0,M,5684.0,F,2256.0,F
5588-68188-0026_4110-11533-0019_4973-44575-0009_1093-132891-0136,5588.0,F,4110.0,M,4973.0,M,1093.0,F
7383-95441-0000_5007-31609-0013_207-122801-0005_3009-10327-0045,7383.0,F,5007.0,F,207.0,M,3009.0,M
1365-134825-0007_5139-30106-0005_868-131296-0015_3171-68344-0052,1365.0,M,5139.0,F,868.0,M,3171.0,M
510-130560-0012_1629-139707-0009_8195-117382-0032_815-130105-0006,510.0,M,1629.0,F,8195.0,M,815.0,M
4381-14897-0012_5538-70919-0036_6555-397-0016_3972-185074-0034,4381.0,F,5538.0,F,6555.0,M,3972.0,F
8699-291107-0031_4363-14936-0080_7342-254918-0012_8718-295446-0010,8699.0,F,4363.0,F,7342.0,F,8718.0,F
764-132272-0050_7145-87280-0045_3289-171109-0033_7956-245687-0060,764.0,M,7145.0,F,3289.0,M,7956.0,M
1806-143948-0005_90-121085-0022_3781-156977-0008_9022-282357-0002,1806.0,M,90.0,M,3781.0,F,9022.0,F
8684-293663-0026_534-127537-0030_335-125941-0002_8176-115046-0006,8684.0,F,534.0,F,335.0,M,8176.0,M
4837-302000-0037_9023-296468-0001_920-668-0018_5968-55202-0007,4837.0,F,9023.0,F,920.0,F,5968.0,F
2093-143264-0042_5935-43322-0021_6032-56222-0011_5386-8684-0019,2093.0,M,5935.0,M,6032.0,F,5386.0,M
1025-92820-0023_549-126410-0030_2427-154673-0007_2517-135227-0044,1025.0,M,549.0,F,2427.0,M,2517.0,M
8176-115047-0026_764-132280-0045_8705-290363-0047_8791-291101-0051,8176.0,M,764.0,M,8705.0,M,8791.0,M
724-123285-0032_6538-81859-0030_3781-156973-0033_497-125118-0009,724.0,M,6538.0,M,3781.0,F,497.0,M
8887-281472-0021_2364-131735-0106_4770-25951-0063_3001-160952-0014,8887.0,M,2364.0,F,4770.0,F,3001.0,F
2137-131748-0003_5656-44576-0018_7481-101276-0017_55-121069-0026,2137.0,M,5656.0,M,7481.0,F,55.0,M
1731-142320-0089_559-126296-0013_1311-134170-0053_451-126829-0031,1731.0,F,559.0,M,1311.0,M,451.0,F
1629-139707-0017_6406-88089-0036_5975-54006-0040_1390-130493-0005,1629.0,F,6406.0,F,5975.0,M,1390.0,F
698-122863-0036_948-132705-0009_1914-121446-0044_6993-83606-0035,698.0,F,948.0,F,1914.0,M,6993.0,M
188-135249-0003_6993-83606-0002_6426-64290-0031_7478-98645-0027,188.0,F,6993.0,M,6426.0,F,7478.0,M
7981-112058-0024_1472-142848-0025_7766-275147-0035_7342-254918-0051,7981.0,M,1472.0,F,7766.0,F,7342.0,F
718-129597-0005_3967-292604-0006_2060-150843-0003_303-123507-0023,718.0,M,3967.0,F,2060.0,F,303.0,M
4848-29108-0027_3546-9342-0018_1379-130517-0013_8887-281472-0002,4848.0,M,3546.0,F,1379.0,M,8887.0,M
2319-138631-0029_7962-110061-0106_3328-166436-0003_3009-10327-0023,2319.0,M,7962.0,F,3328.0,M,3009.0,M
2787-157400-0010_5618-48831-0035_7484-39971-0022_593-126928-0020,2787.0,M,5618.0,F,7484.0,M,593.0,M
7555-101283-0036_5029-31091-0020_114-129324-0056_2039-141208-0065,7555.0,F,5029.0,F,114.0,F,2039.0,M
1226-141268-0010_589-139200-0036_2517-135227-0029_1265-135635-0065,1226.0,M,589.0,F,2517.0,M,1265.0,M
5133-30591-0029_242-122626-0010_5206-19376-0006_8097-108005-0061,5133.0,F,242.0,F,5206.0,M,8097.0,F
2920-156224-0012_7732-107517-0026_7525-101265-0008_8474-281188-0005,2920.0,F,7732.0,M,7525.0,F,8474.0,M
3781-156981-0021_6519-69412-0010_3922-723-0016_1175-126220-0017,3781.0,F,6519.0,F,3922.0,F,1175.0,M
6075-57154-0017_8713-300047-0037_154-124003-0011_4039-184266-0009,6075.0,M,8713.0,M,154.0,M,4039.0,M
8713-302111-0009_724-123283-0011_698-122876-0005_4148-183988-0052,8713.0,M,724.0,M,698.0,F,4148.0,M
6115-58433-0020_1556-143307-0071_835-130876-0066_2823-160953-0004,6115.0,M,1556.0,M,835.0,M,2823.0,M
2056-143893-0023_4846-18524-0037_1724-395-0000_278-127215-0055,2056.0,F,4846.0,F,1724.0,F,278.0,F
7090-91801-0093_2085-147970-0002_4434-73957-0046_5985-63885-0013,7090.0,M,2085.0,F,4434.0,F,5985.0,M
3046-148993-0020_93-123172-0019_1054-143005-0010_8300-275128-0012,3046.0,F,93.0,F,1054.0,F,8300.0,F
1165-135220-0003_7657-104717-0032_7090-91801-0052_3490-177638-0013,1165.0,M,7657.0,F,7090.0,M,3490.0,M
2751-142363-0020_1456-130545-0010_2929-86777-0029_7704-106969-0037,2751.0,F,1456.0,M,2929.0,M,7704.0,M
806-123715-0022_4592-26872-0030_28-12332-0075_922-132300-0015,806.0,M,4592.0,F,28.0,F,922.0,M
7188-82904-0029_7460-92002-0062_5029-30593-0027_7383-95441-0041,7188.0,M,7460.0,M,5029.0,F,7383.0,F
5918-46890-0003_5746-48362-0006_7967-117095-0024_55-121068-0011,5918.0,M,5746.0,M,7967.0,F,55.0,M
3379-132601-0002_6206-14958-0050_6499-87508-0044_783-126739-0103,3379.0,F,6206.0,F,6499.0,M,783.0,F
5401-39515-0010_2774-131722-0007_6235-36641-0012_1903-132499-0043,5401.0,M,2774.0,M,6235.0,F,1903.0,M
4434-73957-0017_7245-104886-0003_5909-111961-0003_1175-126220-0055,4434.0,F,7245.0,F,5909.0,M,1175.0,M
7874-110243-0060_3654-171138-0021_6060-106611-0020_487-129440-0057,7874.0,M,3654.0,M,6060.0,M,487.0,M
5746-48362-0050_1425-139290-0012_718-129594-0005_2787-157400-0054,5746.0,M,1425.0,F,718.0,M,2787.0,M
335-125951-0004_3864-185125-0041_4438-48513-0029_5876-10347-0024,335.0,M,3864.0,M,4438.0,M,5876.0,F
4071-39913-0011_5684-46243-0046_7120-76055-0017_6446-40571-0000,4071.0,F,5684.0,F,7120.0,F,6446.0,M
1498-140040-0047_899-126232-0035_8699-291107-0004_8028-233366-0001,1498.0,F,899.0,M,8699.0,F,8028.0,M
6206-14960-0047_7932-93470-0006_8848-293957-0004_2751-142362-0005,6206.0,F,7932.0,F,8848.0,M,2751.0,F
4770-25951-0035_4495-18533-0020_7335-290365-0016_6510-62516-0025,4770.0,F,4495.0,M,7335.0,F,6510.0,M
7484-39971-0010_8490-284268-0043_126-122467-0078_8075-279233-0008,7484.0,M,8490.0,M,126.0,F,8075.0,F
1001-134708-0021_6788-96241-0002_8875-293959-0030_1335-163935-0025,1001.0,M,6788.0,F,8875.0,M,1335.0,F
6782-61316-0003_1195-130164-0045_362-123048-0025_209-4731-0008,6782.0,F,1195.0,F,362.0,F,209.0,F
1513-140221-0024_5740-39910-0029_1018-133447-0016_459-123443-0010,1513.0,M,5740.0,F,1018.0,M,459.0,M
6308-68358-0034_7484-39971-0014_8592-285135-0074_1392-128240-0018,6308.0,F,7484.0,M,8592.0,M,1392.0,M
7910-105673-0015_451-126829-0001_7085-75810-0046_6981-70843-0047,7910.0,F,451.0,F,7085.0,M,6981.0,M
1425-139297-0024_4806-26894-0016_7000-83696-0045_1001-134707-0063,1425.0,F,4806.0,M,7000.0,M,1001.0,M
5290-26685-0032_8028-233366-0039_2074-159371-0036_559-126296-0045,5290.0,F,8028.0,M,2074.0,M,559.0,M
5448-19208-0031_3717-178149-0035_7229-80656-0023_2254-152825-0011,5448.0,M,3717.0,M,7229.0,F,2254.0,F
8006-112592-0016_4592-22179-0036_534-127538-0013_5139-30106-0011,8006.0,M,4592.0,F,534.0,F,5139.0,F
711-187466-0008_5186-7793-0034_8474-281187-0004_8619-291374-0028,711.0,M,5186.0,M,8474.0,M,8619.0,M
1552-140651-0004_7688-105390-0011_2334-150915-0063_5985-300208-0016,1552.0,M,7688.0,M,2334.0,M,5985.0,M
1311-134170-0019_9023-296468-0016_2920-156224-0000_288-131218-0016,1311.0,M,9023.0,F,2920.0,F,288.0,F
479-134717-0015_217-122443-0038_8404-282926-0075_278-127215-0018,479.0,F,217.0,F,8404.0,F,278.0,F
2364-131735-0099_8725-294554-0009_3289-171108-0020_1482-140067-0006,2364.0,F,8725.0,M,3289.0,M,1482.0,M
2688-144987-0040_6505-231838-0031_7730-304534-0012_596-127685-0051,2688.0,M,6505.0,F,7730.0,F,596.0,F
126-122467-0075_4226-185488-0016_6788-92420-0035_2162-181961-0038,126.0,F,4226.0,M,6788.0,F,2162.0,M
4629-19366-0109_5062-294697-0006_3914-10088-0014_126-125084-0016,4629.0,M,5062.0,F,3914.0,M,126.0,F
3119-163527-0037_14-212-0025_7569-102232-0016_5940-54613-0021,3119.0,F,14.0,F,7569.0,M,5940.0,M
3738-176682-0021_3001-160984-0000_2577-157236-0029_2512-157242-0029,3738.0,F,3001.0,F,2577.0,F,2512.0,F
345-1129-0016_5618-48830-0019_731-365-0045_2137-131742-0022,345.0,M,5618.0,F,731.0,F,2137.0,M
4967-26553-0019_5239-32139-0018_7335-290365-0013_6098-57837-0036,4967.0,F,5239.0,M,7335.0,F,6098.0,M
1241-121106-0013_4257-6397-0019_6965-277898-0017_1066-4479-0023,1241.0,F,4257.0,M,6965.0,M,1066.0,F
